date_time	B.1	B.1.1	B.1.1.306	B.1.1.7	B.1.311	B.1.351	B.1.36.29	B.1.525	B.1.617	B.1.617.1	B.1.617.2	B.1.617.3	B.1.618	Other	source
2020-08-14T23:00:00.000Z	0.07253886	0.098445596	0.227979275	0	0	0	0.012953368	0	0	0	0	0	0	0.588082902	
2020-08-15T23:00:00.000Z	0.077994429	0.108635097	0.236768802	0	0	0	0.013927577	0	0	0	0	0	0	0.562674095	
2020-08-16T23:00:00.000Z	0.082066869	0.103343465	0.227963526	0	0	0	0.018237082	0	0	0	0	0	0	0.568389058	
2020-08-17T23:00:00.000Z	0.079710145	0.086956522	0.206521739	0	0	0	0.02173913	0	0	0	0	0	0	0.605072464	
2020-08-18T23:00:00.000Z	0.061818182	0.087272727	0.229090909	0	0	0	0.025454545	0	0	0	0	0	0	0.596363636	
2020-08-19T23:00:00.000Z	0.071428571	0.088235294	0.218487395	0	0	0	0.029411765	0	0	0	0	0	0	0.592436975	
2020-08-20T23:00:00.000Z	0.081632653	0.102040816	0.18877551	0	0	0	0.035714286	0	0	0	0	0	0	0.591836735	
2020-08-21T23:00:00.000Z	0.051724138	0.017241379	0.465517241	0	0	0	0.034482759	0	0	0	0	0	0	0.431034483	
2020-08-22T23:00:00.000Z	0.057692308	0	0.5	0	0	0	0.038461538	0	0	0	0	0	0	0.403846154	
2020-08-23T23:00:00.000Z	0.055555556	0	0.462962963	0	0	0	0.018518519	0	0	0	0	0	0	0.462962963	
2020-08-24T23:00:00.000Z	0.092105263	0	0.421052632	0	0	0	0.013157895	0	0	0	0	0	0	0.473684211	
2020-08-25T23:00:00.000Z	0.098360656	0	0.442622951	0	0	0	0	0	0	0	0	0	0	0.459016393	
2020-08-26T23:00:00.000Z	0.066666667	0.022222222	0.388888889	0	0	0	0.022222222	0	0	0	0	0	0	0.5	
2020-08-27T23:00:00.000Z	0.055555556	0.027777778	0.333333333	0	0	0	0.027777778	0	0	0	0	0	0	0.555555556	
2020-08-28T23:00:00.000Z	0.051851852	0.02962963	0.348148148	0	0	0	0.022222222	0	0	0	0	0	0	0.548148148	
2020-08-29T23:00:00.000Z	0.046666667	0.026666667	0.32	0	0	0	0.033333333	0	0	0	0	0	0	0.573333333	
2020-08-30T23:00:00.000Z	0.058139535	0.029069767	0.325581395	0	0	0	0.040697674	0	0	0	0	0	0	0.546511628	
2020-08-31T23:00:00.000Z	0.040268456	0.033557047	0.322147651	0	0	0	0.046979866	0	0	0	0	0	0	0.55704698	
2020-09-01T23:00:00.000Z	0.064327485	0.029239766	0.304093567	0	0	0	0.040935673	0	0	0	0	0	0	0.561403509	
2020-09-02T23:00:00.000Z	0.124324324	0.043243243	0.254054054	0	0	0	0.043243243	0	0	0	0	0	0	0.535135135	
2020-09-03T23:00:00.000Z	0.136904762	0.041666667	0.261904762	0	0	0	0.041666667	0	0	0	0	0	0	0.517857143	
2020-09-04T23:00:00.000Z	0.147887324	0.049295775	0.225352113	0	0	0	0.049295775	0	0	0	0	0	0	0.528169014	
2020-09-05T23:00:00.000Z	0.160305344	0.053435115	0.229007634	0	0	0	0.045801527	0	0	0	0	0	0	0.511450382	
2020-09-06T23:00:00.000Z	0.176470588	0.058823529	0.205882353	0	0	0	0.039215686	0	0	0	0	0	0	0.519607843	
2020-09-07T23:00:00.000Z	0.161290323	0.056451613	0.217741935	0	0	0	0.048387097	0	0	0	0	0	0	0.516129032	
2020-09-08T23:00:00.000Z	0.114754098	0.073770492	0.278688525	0	0	0	0.090163934	0	0	0	0	0	0	0.442622951	
2020-09-09T23:00:00.000Z	0.054054054	0.054054054	0.333333333	0	0	0	0.081081081	0	0	0	0	0	0	0.477477477	
2020-09-10T23:00:00.000Z	0.061538462	0.046153846	0.369230769	0	0	0	0.084615385	0	0	0	0	0	0	0.438461538	
2020-09-11T23:00:00.000Z	0.065217391	0.043478261	0.362318841	0	0	0	0.079710145	0	0	0	0	0	0	0.449275362	
2020-09-12T23:00:00.000Z	0.06	0.046666667	0.366666667	0	0	0	0.08	0	0	0	0	0	0	0.446666667	
2020-09-13T23:00:00.000Z	0.051136364	0.039772727	0.403409091	0	0	0	0.073863636	0	0	0	0	0	0	0.431818182	
2020-09-14T23:00:00.000Z	0.07106599	0.07106599	0.385786802	0	0	0	0.07106599	0	0	0	0	0	0	0.401015228	
2020-09-15T23:00:00.000Z	0.087431694	0.06557377	0.387978142	0	0	0	0.054644809	0	0	0	0	0	0	0.404371585	
2020-09-16T23:00:00.000Z	0.071856287	0.065868263	0.437125749	0	0	0	0.071856287	0	0	0	0	0	0	0.353293413	
2020-09-17T23:00:00.000Z	0.060240964	0.072289157	0.463855422	0	0	0	0.060240964	0	0	0	0	0	0	0.343373494	
2020-09-18T23:00:00.000Z	0.060606061	0.072727273	0.484848485	0	0	0	0.078787879	0	0	0	0	0	0	0.303030303	
2020-09-19T23:00:00.000Z	0.06097561	0.079268293	0.493902439	0	0	0	0.091463415	0	0	0	0	0	0	0.274390244	
2020-09-20T23:00:00.000Z	0.067567568	0.108108108	0.459459459	0	0	0	0.108108108	0	0	0	0	0	0	0.256756757	
2020-09-21T23:00:00.000Z	0.025862069	0.077586207	0.50862069	0	0	0	0.155172414	0	0	0	0	0	0	0.232758621	
2020-09-22T23:00:00.000Z	0.009433962	0.094339623	0.490566038	0	0	0	0.160377358	0	0	0	0	0	0	0.245283019	
2020-09-23T23:00:00.000Z	0.009433962	0.132075472	0.452830189	0	0	0	0.150943396	0	0	0	0	0	0	0.254716981	
2020-09-24T23:00:00.000Z	0.01980198	0.148514851	0.376237624	0	0	0	0.178217822	0	0	0	0	0	0	0.277227723	
2020-09-25T23:00:00.000Z	0.009708738	0.155339806	0.359223301	0	0	0	0.184466019	0	0	0	0	0	0	0.291262136	
2020-09-26T23:00:00.000Z	0.021276596	0.14893617	0.329787234	0	0	0	0.159574468	0	0	0	0	0	0	0.340425532	
2020-09-27T23:00:00.000Z	0.017094017	0.153846154	0.358974359	0	0	0	0.11965812	0	0	0	0	0	0	0.35042735	
2020-09-28T23:00:00.000Z	0.037593985	0.142857143	0.390977444	0	0	0	0.090225564	0	0	0	0	0	0	0.338345865	
2020-09-29T23:00:00.000Z	0.062068966	0.124137931	0.344827586	0	0	0	0.082758621	0	0	0	0	0	0	0.386206897	
2020-09-30T23:00:00.000Z	0.082802548	0.095541401	0.292993631	0	0	0	0.095541401	0	0	0	0	0	0	0.433121019	
2020-10-01T23:00:00.000Z	0.089041096	0.095890411	0.267123288	0	0	0	0.109589041	0	0	0	0	0	0	0.438356164	
2020-10-02T23:00:00.000Z	0.08496732	0.091503268	0.248366013	0	0	0	0.130718954	0	0	0	0	0	0	0.444444444	
2020-10-03T23:00:00.000Z	0.075949367	0.094936709	0.278481013	0	0	0	0.132911392	0	0	0	0	0	0	0.417721519	
2020-10-04T23:00:00.000Z	0.102941176	0.080882353	0.235294118	0	0	0	0.161764706	0	0	0	0	0	0	0.419117647	
2020-10-05T23:00:00.000Z	0.087301587	0.111111111	0.166666667	0	0	0	0.182539683	0	0	0	0	0	0	0.452380952	
2020-10-06T23:00:00.000Z	0.058333333	0.125	0.158333333	0	0	0	0.25	0	0	0	0	0	0	0.408333333	
2020-10-07T23:00:00.000Z	0.037037037	0.138888889	0.185185185	0	0	0	0.287037037	0	0	0	0	0	0	0.351851852	
2020-10-08T23:00:00.000Z	0.026785714	0.133928571	0.205357143	0	0	0	0.276785714	0	0	0	0	0	0	0.357142857	
2020-10-09T23:00:00.000Z	0.032608696	0.152173913	0.217391304	0	0	0	0.25	0	0	0	0	0	0	0.347826087	
2020-10-10T23:00:00.000Z	0.032258065	0.139784946	0.193548387	0	0	0	0.290322581	0	0	0	0	0	0	0.344086022	
